match-datetime,team1,team2,team1-score,team2-score,team1-odds,team2-odds,player-name,player-team,agent,rating,acs,k,d,a
2025-02-07 06:30:00,TALON,Gen.G,7,13,4.57,1.28,primmie,TALON,Deadlock,1.11,239,19,16,3
2025-02-07 06:30:00,TALON,Gen.G,7,13,4.57,1.28,ban,TALON,Gekko,0.84,176,12,15,0
2025-02-07 06:30:00,TALON,Gen.G,7,13,4.57,1.28,Crws,TALON,Fade,0.79,147,10,15,6
2025-02-07 06:30:00,TALON,Gen.G,7,13,4.57,1.28,JitBoyS,TALON,Astra,0.48,79,5,15,5
2025-02-07 06:30:00,TALON,Gen.G,7,13,4.57,1.28,Governor,TALON,Raze,0.38,125,8,18,4
2025-02-07 06:30:00,TALON,Gen.G,7,13,4.57,1.28,Karon,Gen.G,Brimstone,1.78,308,24,9,10
2025-02-07 06:30:00,TALON,Gen.G,7,13,4.57,1.28,t3xture,Gen.G,Raze,1.41,276,21,12,3
2025-02-07 06:30:00,TALON,Gen.G,7,13,4.57,1.28,yoman,Gen.G,Fade,1.32,171,12,9,10
2025-02-07 06:30:00,TALON,Gen.G,7,13,4.57,1.28,Foxy9,Gen.G,Gekko,1.11,212,16,12,7
2025-02-07 06:30:00,TALON,Gen.G,7,13,4.57,1.28,Munchkin,Gen.G,Viper,0.73,125,6,12,10
2025-02-07 06:30:00,TALON,Gen.G,2,13,4.57,1.28,primmie,TALON,Deadlock,0.95,248,11,14,6
2025-02-07 06:30:00,TALON,Gen.G,2,13,4.57,1.28,JitBoyS,TALON,Omen,0.90,143,8,11,3
2025-02-07 06:30:00,TALON,Gen.G,2,13,4.57,1.28,ban,TALON,Tejo,0.88,203,10,14,4
2025-02-07 06:30:00,TALON,Gen.G,2,13,4.57,1.28,Governor,TALON,Raze,0.29,108,6,15,2
2025-02-07 06:30:00,TALON,Gen.G,2,13,4.57,1.28,Crws,TALON,Fade,0.08,94,3,15,4
2025-02-07 06:30:00,TALON,Gen.G,2,13,4.57,1.28,yoman,Gen.G,Fade,1.88,258,15,4,6
2025-02-07 06:30:00,TALON,Gen.G,2,13,4.57,1.28,Foxy9,Gen.G,Killjoy,1.35,256,15,8,1
2025-02-07 06:30:00,TALON,Gen.G,2,13,4.57,1.28,Munchkin,Gen.G,Viper,1.28,279,16,9,3
2025-02-07 06:30:00,TALON,Gen.G,2,13,4.57,1.28,Karon,Gen.G,Omen,1.13,184,11,7,4
2025-02-07 06:30:00,TALON,Gen.G,2,13,4.57,1.28,t3xture,Gen.G,Raze,0.95,208,12,10,3
2025-02-07 03:00:00,T1,DRX,13,11,1.72,2.39,iZu,T1,Cypher,1.42,259,22,13,3
2025-02-07 03:00:00,T1,DRX,13,11,1.72,2.39,Meteor,T1,Iso,1.26,236,22,16,4
2025-02-07 03:00:00,T1,DRX,13,11,1.72,2.39,BuZz,T1,Raze,1.13,299,23,21,4
2025-02-07 03:00:00,T1,DRX,13,11,1.72,2.39,stax,T1,Sova,1.01,165,14,14,10
2025-02-07 03:00:00,T1,DRX,13,11,1.72,2.39,carpe,T1,Omen,0.79,122,11,16,13
2025-02-07 03:00:00,T1,DRX,13,11,1.72,2.39,MaKo,DRX,Omen,1.20,212,19,15,10
2025-02-07 03:00:00,T1,DRX,13,11,1.72,2.39,HYUNMIN,DRX,Raze,1.05,254,21,20,5
2025-02-07 03:00:00,T1,DRX,13,11,1.72,2.39,free1ng,DRX,Tejo,1.05,224,19,20,6
2025-02-07 03:00:00,T1,DRX,13,11,1.72,2.39,BeYN,DRX,Fade,0.78,169,13,19,8
2025-02-07 03:00:00,T1,DRX,13,11,1.72,2.39,Flashback,DRX,Vyse,0.44,102,8,18,5
2025-02-07 03:00:00,T1,DRX,13,15,2.39,1.72,iZu,T1,Cypher,1.05,189,19,17,3
2025-02-07 03:00:00,T1,DRX,13,15,2.39,1.72,Meteor,T1,Iso,1.03,243,23,21,5
2025-02-07 03:00:00,T1,DRX,13,15,2.39,1.72,BuZz,T1,Yoru,0.98,226,21,21,9
2025-02-07 03:00:00,T1,DRX,13,15,2.39,1.72,carpe,T1,Omen,0.84,161,15,21,13
2025-02-07 03:00:00,T1,DRX,13,15,2.39,1.72,stax,T1,Sova,0.70,148,15,21,4
2025-02-07 03:00:00,T1,DRX,13,15,2.39,1.72,free1ng,DRX,Tejo,1.31,277,28,19,7
2025-02-07 03:00:00,T1,DRX,13,15,2.39,1.72,HYUNMIN,DRX,Jett,1.20,262,25,21,3
2025-02-07 03:00:00,T1,DRX,13,15,2.39,1.72,MaKo,DRX,Omen,1.15,196,19,17,12
2025-02-07 03:00:00,T1,DRX,13,15,2.39,1.72,Flashback,DRX,Cypher,1.11,180,17,16,8
2025-02-07 03:00:00,T1,DRX,13,15,2.39,1.72,BeYN,DRX,Sova,0.64,120,12,20,3
2025-02-07 03:00:00,T1,DRX,10,13,2.39,1.72,BuZz,T1,Raze,1.38,292,23,17,4
2025-02-07 03:00:00,T1,DRX,10,13,2.39,1.72,carpe,T1,Brimstone,1.08,207,17,17,12
2025-02-07 03:00:00,T1,DRX,10,13,2.39,1.72,iZu,T1,Tejo,0.99,192,15,15,6
2025-02-07 03:00:00,T1,DRX,10,13,2.39,1.72,stax,T1,Breach,0.83,148,11,17,14
2025-02-07 03:00:00,T1,DRX,10,13,2.39,1.72,Meteor,T1,Cypher,0.73,169,13,18,6
2025-02-07 03:00:00,T1,DRX,10,13,2.39,1.72,HYUNMIN,DRX,Raze,1.44,294,24,17,5
2025-02-07 03:00:00,T1,DRX,10,13,2.39,1.72,MaKo,DRX,Brimstone,1.43,282,25,15,10
2025-02-07 03:00:00,T1,DRX,10,13,2.39,1.72,BeYN,DRX,Breach,0.98,161,13,14,17
2025-02-07 03:00:00,T1,DRX,10,13,2.39,1.72,Flashback,DRX,Vyse,0.80,146,14,15,3
2025-02-07 03:00:00,T1,DRX,10,13,2.39,1.72,free1ng,DRX,Tejo,0.53,120,8,18,8
